Anos;UE28;Germany;Austria;Belgiam;Bulgaria;Cyprus;Croatia;Denmark;Slovakia;Slovenia;Spain;Estonia;Finland;France;Greece;Hungary;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Poland;Portugal;Czechia;Romania;Sweden;Norway;United_Kingdom;Switzerland
1980;506328;0;0;0;0;0;0;0;0;0;263017;0;0;22176;32965;0;0;143919;0;0;0;0;0;0;44251;0;0;0;0;0;0
1981;727064;0;0;0;0;0;0;0;0;0;298288;0;0;27711;81417;0;0;229850;0;0;0;0;0;0;89798;0;0;0;0;0;0
1982;405432;0;0;0;0;0;0;0;0;0;152903;0;0;55145;27372;0;0;130456;0;0;0;0;0;0;39556;0;0;0;0;0;0
1983;441931;0;0;0;0;0;0;0;0;0;108100;0;0;53729;19613;0;0;212678;0;0;0;0;0;0;47811;0;0;0;0;0;0
1984;353958;0;0;0;0;0;0;0;0;0;165119;0;0;27202;33655;0;0;75272;0;0;0;0;0;0;52710;0;0;0;0;0;0
1985;984188;0;0;0;0;0;0;0;0;0;484476;0;0;57368;105450;0;0;190640;0;0;0;0;0;0;146254;0;0;0;0;0;0
1986;517203;0;0;0;0;0;0;0;0;0;264887;0;0;51860;24514;0;0;86420;0;0;0;0;0;0;89522;0;0;0;0;0;0
1987;404051;0;0;0;0;0;0;0;0;0;146662;0;0;14108;46315;0;0;120697;0;0;0;0;0;0;76269;0;0;0;0;0;0
1988;463775;0;0;0;0;0;0;0;0;0;137734;0;0;6701;110501;0;0;186405;0;0;0;0;0;0;22434;0;0;0;0;0;0
1989;766020;0;0;0;0;0;0;0;0;0;426693;0;0;75566;42363;0;0;95161;0;0;0;0;0;0;126237;0;0;0;0;0;0
1990;656588;0;0;0;0;0;0;0;0;0;203032;0;0;72625;38594;0;0;195319;258;0;0;0;0;7341;137252;0;444;0;0;0;1723
1991;570280;920;0;0;511;0;0;0;0;0;260318;0;0;10130;13046;0;0;99860;69;0;0;0;0;2567;182486;0;277;0;0;0;96
1992;430995;4908;0;0;5243;0;11131;0;0;0;105277;0;0;16593;71410;0;0;105692;8412;769;0;0;0;43755;57011;0;729;0;0;0;65
1993;463314;1493;85;0;18164;0;20157;0;0;0;89267;0;0;16698;54049;0;0;203749;570;274;0;0;0;8290;49963;0;518;0;0;0;37
