Anos; UE28;Germany;Austria;Belgiam;Bulgaria;Cyprus;Croatia;Denmark;Slovakia;Slovenia;Spain;Estonia;Finland;France;Greece;Hungary;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Poland;Portugal;Czechia;Romania;Sweden;Norway;United_Kingdom;Switzerland
1980;27749;0;0;0;0;0;0;0;0;0;7190;0;0;5040;1207;0;0;11963;0;0;0;0;0;0;2349;0;0;0;0;0;0
1981;38443;0;0;0;0;0;0;0;0;0;10878;0;0;5173;1159;0;0;14503;0;0;0;0;0;0;6730;0;0;0;0;0;0
1982;26081;0;0;0;0;0;0;0;0;0;6545;0;0;5308;1045;0;0;9557;0;0;0;0;0;0;3626;0;0;0;0;0;0
1983;22913;0;0;0;0;0;0;0;0;0;4791;0;0;4659;968;0;0;7956;0;0;0;0;0;0;4539;0;0;0;0;0;0
1984;29997;0;0;0;0;0;0;0;0;0;7203;0;0;5672;1284;0;0;8482;0;0;0;0;0;0;7356;0;0;0;0;0;0
1985;47034;0;0;0;0;0;0;0;0;0;12238;0;0;6249;1442;0;0;18664;0;0;0;0;0;0;8441;0;0;0;0;0;0
1986;27439;0;0;0;0;0;0;0;0;0;7570;0;0;4353;1082;0;0;9398;0;0;0;0;0;0;5036;0;0;0;0;0;0
1987;32665;0;0;0;0;0;0;0;0;0;8679;0;0;3043;1266;0;0;11972;0;0;0;0;0;0;7705;0;0;0;0;0;0
1988;33701;0;0;0;0;0;0;0;0;0;9247;0;0;2837;1898;0;0;13588;0;0;0;0;0;0;6131;0;0;0;0;0;0
1989;60423;0;0;0;0;0;0;0;0;0;20811;0;0;6763;1284;0;0;9669;0;0;0;0;0;0;21896;0;0;0;0;0;0
1990;52086;0;0;0;0;0;0;0;0;0;12913;0;0;5881;1322;0;0;14477;604;0;0;0;0;5756;10745;0;131;0;0;0;257
1991;50435;1846;0;0;73;0;0;0;0;0;13531;0;0;3888;858;0;0;11965;225;0;0;0;0;3528;14327;0;42;0;0;0;152
1992;70894;3012;0;0;602;0;325;0;0;0;15955;0;0;4002;2582;0;0;14641;1510;1180;0;0;0;11858;14954;0;187;0;0;0;86
1993;65978;1694;112;0;1196;0;372;0;0;0;14254;0;0;4769;2406;0;0;14412;965;634;0;0;0;8821;16101;0;159;0;0;0;83
1994;72620;1696;105;0;667;0;181;0;366;0;19263;0;0;4618;1763;0;0;11588;763;715;0;0;0;10705;19983;0;121;0;0;0;86
1995;87311;1237;54;0;114;0;109;0;254;0;25827;0;0;6563;1438;0;0;7378;582;472;0;0;0;7678;34116;1331;62;0;0;0;96
1996;78396;1748;26;0;246;0;305;0;662;0;16771;0;1475;6401;1508;0;0;9093;1095;894;0;0;0;7923;28626;1421;72;0;0;0;130
1997;81605;1467;42;0;200;0;305;0;535;0;22320;0;1585;8005;2273;0;0;11612;768;565;0;0;0;6817;23497;1398;37;0;0;0;179
1998;90367;1032;71;0;578;0;441;0;1056;0;22446;0;370;6289;1842;0;0;9540;357;258;0;0;0;6165;34676;2563;59;2503;0;0;121
